Category,News,Cluster
sports,Sports news: Napoli Owner: We Won't Sign African Players Unless They Agree AFCON Waiver. The Italian film producer also said he did not support the breakaway European Super League which folded less than 48,
sports,"Sports news: Napoli Striker Osimhen Named Serie A Young Player of the Season. Napoli striker Victor Osimhen has been named the Best Young Player of the 2021-22 Season in Serie A, completing the",
business,"National Carrier, Nigeria Air, to Commence Operations April 2022. Nigeria's proposed national carrier, Nigeria Air, is set to begin flight operations by April 2022. The new official airline would",
sports,"Sports news: NBA, Basketball Africa League Launch Gender Equality Initiative. In commemoration of International Women's Day, theÂ National Basketball Association (NBA) and the Basketball Africa League (BAL) has announced the launch",
sports,"Sports news: Ndidi, Oshoala, Osimhen Win at Nigerian Sports Awards. Super Eagles and Leicester City FC midfielder, Wilfred Ndidi and Super Falcons and FC Barcelona Femeni forward, Asisat Oshoala, emerged",
health,"NDLEA Alleges 'Billionaire Drug Baron' Ukatu Imported  N22bn Worth of Tramadol in a Month. The National Drug Law Enforcement Agency, NDLEA, has said that ongoing investigation of a ""billionaire drug baron"" Chief Afam Ukatu,",
sports,"Sports news: New Schedule for Tokyo 2021 Olympics Torch Relay. The Olympic torch relay will now start its journey March 25, 2021, from the J-Village national training centre in Fukushinma",
health,"New Virus Variant Detected in India; Experts Urge Caution. A new and potentially troublesome variant of the coronavirus has been detected in India, as have variants first detected in",
sports,"Sports news: Neymar Overtakes Ronaldo, Now Brazil's All-time Second Leading Scorer after Pele. Neymar moved second behind Pele in Brazil's all-time leading scorer list by scoring a hat-trick in their 2022 World Cup",
sports,Sports news: Neymar Would Rather Brazil Play Argentina in Copa America Final. Brazil forward Neymar says he hopes Argentina will be their opponents in the Copa America final and has no doubts,
sports,Sports news: Nigeria 0-1 Cameroon: Indomitable Lions Clip Eagles' Wings. The Indomitable Lions of Cameroon have defeated Nigeria's Super Eagles in an international friendly played in Austria on Friday. A,
business,"Nigeria Activates $587m AfDB Facility for Technology, Creative Sectors. The Buhari administration has commenced the process that will pump the technology, entertainment and creative sectors with over N240 billion",
health,"Nigeria Allays Fears over AstraZeneca Vaccine Despite Global Concerns. Despite concerns over reported negative effects of the AstraZeneca vaccine by some countries in Europe, Nigeria's federal government on Monday",
business,Nigeria Approves $1.5bn For Rehabilitation of Port Harcourt Refinery. Nigeria's Federal Executive Council (FEC) has approved $1.5 billionÂ for the rehabilitation of the Port Harcourt refinery as proposedÂ by the Ministry,
health,"Nigeria Approves China's Sinopharm Covid Vaccine. The Nigerian government has approved the use of Sinopharm BBIBP-CorV Covid-19 vaccine in the country. Faisal Shuaib, the executive director,",
health,Nigeria Backs Global Efforts Against Marine Plastic Pollution. President Muhammadu Buhari has pledged Nigeria's commitment to an international legally binding instrument to reduce the menace of marine plastic,
business,"Nigeria Banks' Profits Rise to $1.8bn Despite Harsh Covid-19 Conditions. Despite the economic meltdown caused by the Covid-19 pandemic, the nine months 2020 financial results of 12 commercial banks have",
health,"Nigeria Begins Distribution of Covid-19 Vaccines to States. Nigeria's federal government has commenced the movement of AstraZeneca vaccine to all the states of the federation. The Executive Director,",
business,"Nigeria Can Earn $20bn Annually from Oil Palm: Edo Governor Obaseki. Edo State Governor, Mr. Godwin Obaseki, has reiterated the need for Nigeria to diversify its economy from crude oil, noting",
health,Nigeria Confirms Two Cases of Omicron. The Nigeria Centre for Disease Control on Wednesday morning confirmed the first case of the Omicron coronavirus variant in the,
business,"Nigeria Considers Options on Shell's Divestment Plan. Nigeria's federal government is weighing some options as discussions with Anglo-Dutch oil company, Shell Petroleum Development Company, begin over its",
health,"Nigeria Deliberating on How to Pay for Covid Vaccines, Requires $1bn to Inoculate 70% of Population. Nigeria's federal government is working out how to pay for Covid vaccines, the Minister of State for Budget and National",
health,"Nigeria Drug Agency Intercepts 100,000 Bottles of Codeine Syrup at Onne Port. About 100,000 bottles of codeine syrup with a total weight of 15,325kilograms were at the weekend intercepted and seized by",
business,"Nigeria Exempts Dangote Cement From Land Border Blockade. The Nigerian government has allowed Dangote Cement to resume exports across its land borders, raising hopes that Africa's most populous",
health,Nigeria Expects Next Batch of Covid Vaccines By September. Nigeria's federal government has expressed hope that the country may receive more consignments of Covax-brokered Covid-19 vaccines between July and,
sports,Sports news: Nigeria Football Boss Pinnick Intervenes to Quell 'Mutiny' in Super Eagles. After Nigeria's 4-4 draw with Sierra Leone in an AFCON 2022 qualifier and the bad blood that erupted in Super,
sports,"Sports news: Nigeria Football Federation Hijacks Eguavoen's Stade Malien Move,  Appoints Him Technical Director. Former Super Eagles Head Coach, Austin Eguavoen, 55, was Tuesday announced as the new Technical Director of the Nigeria Football",
health,Nigeria Gets $200m World Bank Loan for Malaria Intervention. The National Malaria Elimination Programme on Tuesday said the World Bank was providing $200 million loan to fund malaria intervention,
health,Nigeria Governors Meet Thursday Over Distribution of Covid Vaccines. The governors of Nigeria's 36 states of the federation will on Thursday meet to discuss modalities for the distribution of,
business,"Nigeria Labour Alleges International Conspiracy Against Country's Downstream Petroleum Sector. The Nigeria Labour Congress (NLC) has raised the alarm over what it described as an international conspiracy, working with",
business,"Nigeria Must Commit to Renewable Energy to Build a Future, Obasanjo Says. Former President Olusegun Obasanjo on Friday demanded that Nigeria must commit to generating power from renewable energy and clean carbon-free",
health,"Nigeria Not Dumping Ground for EU-Banned Chemicals, Says NAFDAC. Nigeria's National Agency for Food and Drug Administration and Control (NAFDAC) has denied reports that 40 per cent of the",
business,Nigeria Okays $329m for Railway Consultancy Supervision Services Nationwide. Nigeria's Federal Executive Council (FEC) has approved contracts worth $328.87 million in consultancy services for the supervision of the various,
business,"Nigeria Owes Foreign Airlines $53m, IATA Says. The International Air Transport Association (IATA) has said that $53 million proceeds from sales of foreign airlines' tickets are still",
business,"Nigeria Ports Authority Inaugurates First Non-Oil Export Processing Terminal in Lagos. The Nigerian Ports Authority (NPA) has flagged off the first non-oil export processing terminal, situated in Ibeshe-Ikorodu, Lagos State. The",
business,"Nigeria Raises $1.25bn Through Eurobonds as Public Debt Hits N41.026tn. Nigeria has issued $1.250 (N520 billion) billion seven-year Eurobond in the International Capital Market (ICM), being the first African country",
health,"Nigeria Records 32 Deaths, 170 Cases of Lassa Fever in Three Weeks. At least 32 people have died of Lassa fever since the beginning of the New Year, according to data from",
business,"Nigeria Rejects Two Cargoes of Adulterated Petrol Imported from Belgium. Following the circulation of adulterated petrol in Nigeria, which damaged vehicle engines last week, the federal government has turned back",
business,"Nigeria Renationalising Power Assets in Guise of Restructuring, Discos Allege. The 11 electricity Distribution Companies (Discos) in Nigeria on Sunday accused the federal government of surreptitiously moving to renationalise their",
health,"Nigeria Resident Doctors Threaten Indefinite Strike from Thursday. Resident doctors in Nigeria have said they will embark on an ""indefinite strike"" on Thursday over the government's failure to",
health,Nigeria Resident Doctors Vote to Continue Indefinite Strike. Striking resident doctors in Nigeria have resolved to sustain their ongoing industrial action until their demands are met by the,
business,Nigeria Revokes Addax Petroleum's Four Oil Blocks for Non-performance. Nigeria's Department of Petroleum Resources (DPR) has revoked four Oil Mining Licences (OMLs) belonging to Addax Petroleum due to the,
health,Nigeria Says It's On Course to Achieve HIV Epidemic Control Target. Nigeria's federal government has said the country was on the verge of achieving the target of HIV epidemic control. The,
business,"Nigeria Spends $1.3bn on Debt Servicing In Six Months. Nigeria's federal government has spent $1.302 billion on debt servicing in the first half of 2021 (January to June 2021),",
health,Nigeria Tackling Mutant Polio Virus Type2 Outbreak. Nigeria's federal government on Thursday said it was working with development partners to address cases of circulating mutant polio virus,
health,"Nigeria Takes Delivery of 700,000 Covid Vaccine Doses from UK. About 700,000 COVID-19 vaccine doses donated by the United Kingdom (UK) have been received at the Nnamdi Azikiwe International Airport,",
health,"Nigeria to Activate Emergency Response against Ebola. Nigeria's federal government is set to take measures against a possible resurgence of Ebola disease in the country, the Director",
business,Nigeria to Boost Crude Oil Production in Two Weeks by Reactivating Shut Oil Wells. Nigeria's federal government will boost crude oil production through the reactivation of oil wells that were shut down due to,
business,Nigeria to Concession Four Airports For Decades. Nigeria's Aviation Ministry has said plans are in place to concession four of the country's airports which will enable private,
health,Nigeria to Receive 3.92m Doses of AstraZeneca Vaccine By July. Nigeria is gearing up for the resumption of vaccination of people for COVID-19 as it expects another shipment of 3.92,
health,Nigeria Vaccinates 3.6 Million Citizens Against Covid-19. Nigeria's federal government on Tuesday put the total number of eligible Nigerians that have so far received their first dose,
business,"Nigeria Vows to Sanction Depot Owners Selling Petrol Above Official Price. The Minister of Petroleum Resources, Mr. Timipre Sylva, at the weekend vowed that the federal government would sanction petrol depot",
business,"Nigeria will Continue to Explore Fossil Fuels, Deputy Oli Minister Sylva Says. Nigeria's Minister of State, Petroleum Resources, Mr Timipre Sylva, has said that despite the global opposition to the exploitation of",
business,"Nigeria, Equatorial Guinea Sign New Gas Deal. Nigeria and Equatorial Guinea on Tuesday signed a Memorandum of Understanding (MoU) to supply gas from Nigeria's offshore fields to",
health,Nigeria: 11 Governors Yet to Publicly Receive Covid Vaccine. No fewer than 11 state governors are yet to publicly take the COVID-19 vaccine jab after taking delivery of their,
business,Nigeria: Appeal Court Joins Lagos in VAT Collection Tussle. Nigeria's Court of Appeal in Abuja on Thursday joined Lagos State as a respondent in the appeal challenging the judgment,
health,Nigeria: Borno State Confirms 43 Killed By Suspected Cholera Outbreak. The Borno State government on Tuesday confirmed the death of 43 persons as a result of suspected cholera outbreak in,
business,Nigeria: CBN Bars Payment Service Holding Companies from Accessing Bank Loans. The Central Bank if Nigeria (CBN) has barred the proposed Payments Service Holding Companies (PSHC) from borrowing from the Nigerian,
health,"Nigeria: Cholera Kills 150 in Northwest Katsina State. Nigeria's northern Katsina state has recorded over 150 deaths resulting from the outbreak of cholera, the state's Primary Health Care",
business,"Nigeria: Debt Management Office  To Auction N150bn FGN Bonds. Nigeria's Debt Management Office (DMO) says it will offer N150 billion bonds for subscription on November 17, 2021 on behalf",
business,Nigeria: DPR Set to Issue Award Letters to Marginal Field Bid Winners. Nigeria's Department of Petroleum Resources (DPR) on Saturday announced that it had concluded arrangements to issue award letters to successful,
business,"Nigeria: Fewer Seats, High Exchange Rate Lead to Airfare Hike at Christmas. Domestic airlines in Nigeria have increased their airfares owing to high volume of passenger traffic compared to airline seats in",
business,"Nigeria: FIRS Insists on Collecting VAT, Warns Taxpayers Against Default. The Federal Inland Revenue Service (FIRS) has directed taxpayers in the country to continue to pay their Value Added Tax",
business,"Nigeria: It Will Affect Investors' Confidence, Oyo Governor Makinde Asks FG to Reverse Twitter Ban. Governor of Nigeria's southwestern Oyo State, Seyi Makinde says the federal government's decision to ban Twitter operations in the country",
health,Nigeria: Kwara Records First Confirmed Case of Monkey Pox. The Kwara State Government in Nigeria's North-Central region said it has recorded the first case of monkey pox disease in,
health,"Nigeria: Lagos Governor Tests Positive for Covid-19, Kaduna Governor Self-Isolates. The Lagos State Governor, Mr. Babajide Sanwo-Olu, has tested positive for Covid-19, Commissioner for Health, Professor Akin Abayomi, has said.",
health,"Nigeria: Lassa Fever Claims 20  Lives in Kogi, Others Hospitalised. Following the outbreak of lassa fever in Aya , Machagba communities in Ibaji Local government area of Kogi state, at",
business,"Nigeria: Like Rivers, Lagos Seeks Law to Commence VAT Collection. Just like Rivers State in the Niger-Delta which recently enacted its Value Added Tax (VAT) Law 2021 to regulate the",
sports,"Sports news: Nigeria: Musa, Ekong, Iheanacho, 20 Others for Qatar 2022 Qualifying Games Against CAR. Technical Adviser Gernot Rohr has listed team captain Ahmed Musa, deputy captain Wlliam Ekong and 21 others for the Super",
health,"Nigeria: NAFDAC Puts Fake Medicine in Circulation at 15 per cent. Nigeria's National Agency for Food, Drug Administration and Control (NAFDAC) has said contrary to report that 70 per cent of",
business,"Nigeria: NIMET Warns Pilots, Airlines about Inclement Harmattan Weather. The Nigeria Meteorological Agency (NIMET) has warned pilots and airlines that starting from November 18, the inclement Harmattan weather could",
business,"Nigeria: Oil Marketers Raise the Alarm, Accuse Airline Operators of Trying to Force Subsidy on Aviation Fuel. Some petroleum products marketers in Nigeria have warned that the pressure being mounted by local airline operators on the federal",
business,"Nigeria: Otedola, Adenuga, Hassan-Odukale, Otudeko in Battle to Control First Bank. By his acquisition of 1,818,551,625 units of shares of First Bank Holdings Plc (FBNH), amounting to a 5.07 per cent",
health,"Nigeria: Panic as Cholera Claims 60 Lives in Northwest Katsina State. Panic has gripped the residents of Katsina State, following the outbreak of Cholera, which has killed no fewer than 60",
business,"Nigeria: Pressure Mounts on Government to Save Oil Windfall as Price Rallies at $71. With the sustained rally of crude oil prices, there is pressure on Nigeria's federal government to save the windfall as",
health,Nigeria: Tobacco Industry Exploiting Social Media to Promote Product in Contravention of Law. The tobacco industry in Nigeria is allegedly exploiting social networking platforms to promote and market its products in contravention of,
business,"Nigeria: With Rising Debt Service Cost, Economists Urge FG to Reprioritise Expenditure. Nigeria's Finance Minister Zainab Ahmed sounded the alarm bells when she said the country's debt service cost outstripped its revenue.Read more",
health,"Nigeria: Zipline Signs MoU with Kaduna to Transport Vaccines with Drones. An American company with specialization in medical product delivery, Zipline, has signed a memorandum of understanding with the Kaduna State",
sports,Sports news: NigeriaÂ Qualifies For 2021 Africa Cup of Nations With OneÂ Game to Spare. Nigeria'sÂ Super Eagles haveÂ qualified for the 2021 Africa Cup of Nations after Lesotho and Sierra Leone drew 0-0 in Group L.,
business,"Nigeria's $3bn Share of Africa's $75bn FDI Unacceptable, Buhari Says. President Muhammadu Buhari has said Nigeria's low share of Foreign Direct Investment (FDI) flow to Africa between 2015 and 2019",
business,Nigeria's Auditor General RevealsÂ 107 Million Barrels of Crude OilÂ Missing in 2019. The audit report of the Auditor General for the Federation has revealed that the defunct Nigeria National Petroleum Company (NNPC),
business,Nigeria's BUA and Finland's Wartsila OY Seal New Deal on 70MW Gas Power Plant. The BUA Group has signed yet another agreement with Wartsila OY of Finland for the construction of a 70 megawatts,
business,Nigeria's Central Bank Approves Release of Excess Cash Reserve Requirement to Improve Banking Liquidity. The Central bank of Nigeria (CBN) has approved the release of cash reserve requirement through the issuance of CBN Special,
business,"Nigeria's Central Bank Governor Rules Out Foreign Investors' Exclusion from Open Market Auctions. Foreign portfolio investors (FPIs) will not be barred from participating in the Open Market Operations (OMO) auctions, Central Bank of",
business,Nigeria's Central Bank Guarantees Exporters Unfettered Access to Sales Proceeds. The Central Bank of Nigeria (CBN) has assured exporters that they will continue to have unfettered access to their export,
business,"Nigeria's Debt Service Hits N1.94trn, Overwhelms Revenue by N310bn. Debt service cost outstripping the country's revenue is an indication of dangers ahead; policymakers must implement reforms to save the",
business,Nigeria's External Reserves Rise ByÂ  $587.8m in Seven Days. Nigeria's total amount of external reserves has increased by about $587.8 million in one week. According to the data published,
business,"Nigeria's January Inflation Rates at Near 4-Year High. Nigeria's annual inflation rate climbed for a 17th straight month to 16.47% in January of 2021, accordingÂ to figures released by",
business,"Nigeria's Largest Bank by Customer Base, Access, Schedules Board Meeting for Oct 27. In a notice posted on the Nigerian Stock Exchange website, Access Bank says it is informing the investing public that",
business,"Nigeria's Oil Under-ProductionÂ Undermines OPEC Projection in April. Nigeria, Libya and a handful of African countries again hobbled the projected oil production plan by the Organisation of",
business,"Nigeria's Petroleum Regulator Sets Up Investigative Panel to Tackle Rising Oil Theft. As Nigeria's economy continues to bleed from the negative impact of crude oil theft, the Nigerian Upstream Petroleum Regulatory Commission",
business,"Nigeria's Private Refineries' Operators Groan Under Weight of Crude Scarcity as NNPC Focuses on Export. The few small-scale refineries operating in Nigeria are facing a huge challenge of crude oil supply, as the Nigerian National",
business,Nigeria's Radisson Hotels Pass SGS Safety Protocol Test. The Radisson Hotel Group recently announced that its five Nigerian outlets have successfully completed the SGS Disinfection Monitored and Cleaning,
sports,"Sports news: Nigeria's Sports Festival Set to Start January 3 in Benin City. Barring any last minute change, the 20th National Sports Festival has been rescheduled to begin on January 3, 2021 in",
sports,"Sports news: Nigeria's Sports Minister Demands Victory as Super Eagles Depart for Freetown. Nigeria's Minister of Youth and Sports Development, Sunday Dare, has insisted that only a win in Freetown will be acceptable",
sports,"Sports news: Nigeria's Sports Ministry, Football Federation Procure 20,000 Tickets for Super Eagles' Fans Ahead Ghana Match. In a bold move to fill up the stands of the Moshood Abiola National Stadium and guarantee high-decibel support for",
business,"Nigeria's State-owned Oil Company Says $10bn Infrastructural Investment Ongoing in Energy Sector. The Group Managing Director of Nigeria's state-owned oil company, the Nigerian National Petroleum Corporation (NNPC), Mallam Mele Kyari, has said",
business,Nigeria's Stock Market  Sheds N772bn in July as Investors Switch to Fixed Income Securities. The stock market arm of the Nigerian Exchange Limited (NGX) in July 2022 fell by N772 billion to N27.163 trillion,
business,Nigeria's Stock Market Gains N1.33tn in First Trading Week. The Nigerian Exchange Limited (NGX) kicked off the first trading week of 2022 on a positive note as its market,
business,"Nigeria's Stock Market Sustains Bullish Trend, Gains N5.64trn in First Half 2022. Following improved corporate earnings by companies, low yield in fixed income market, among other factors, the stock market segment of",
business,"Nigerian Airlines Blame Exchange Rate for Fare Hike. Nigerian airlines have attributed the about 70% rise in domestic airfares to the weakening exchange rate, the paucity of operating",
business,Nigerian Airlines Warn Only Three Days to Shut Down Operations Over Aviation Fuel Scarcity. Airline Operators in Nigeria on Monday warned that they have only three days left to shut down operations over lingering,
business,"Nigerian Broadcast Stations Gasping for Breath, BON Cries Out. The Broadcasting Organisation of Nigeria (BON), a body representing broadcast stations in Nigeria, has cried out over the skyrocketing costs",
health,"Nigerian Governors Meet Wednesday Over New Covid Safety Measures. Nigerian governors have scheduled to meet on Wednesday, January 20, to review and consider new safety measures in view of",
health,"Nigerian Governors Move to Take Over Covid-19 Vaccines' Distribution, Meet Wednesday. Following concerns over the opaqueness of the recent allocation of expected 100,000 doses of Covid-19 vaccines to states by the",
business,"Nigerian Industrialist Dangote Maintains Ranking as Africa's Richest Man. For the tenth time, Nigeria's entrepreneurial giant and richest black man on earth, Mr. Aliko Dangote, has retained his position",
business,"Nigerian Magnate Otedola Acquires Additional Stake in First Bank Holdings, Consolidates Largest Shareholder Status. Nigeria's billionaire magnate and chair of Geregu Power Plc Femi Otedola has acquired a further interest in FBN Holdings Plc,",
business,"Nigerian Manufacturers Lament High Cost of Diesel, Demand Licence to Import from Niger Republic, Chad. The Manufacturers Association of Nigeria has decried the rising cost of diesel in the country and urged the federal government",
business,"Nigerian Senate Sets Up 13-man Panel to Investigate Crude Oil Theft, Approves N4trn Subsidy. Following public outrage against the massive stealing of Nigeria's crude oil, which had seen the country lose huge earnings as",
sports,"Sports news: Nigerian Sprinter Blessing Okagbare Banned 10 Years for Doping. Nigeria's 2008 long jump silver medalist Blessing Okagbare has been banned for 10 years for doping, the Athletics Integrity Unit",
health,Nigerian Travellers to UK Will Still Have to Quarantine. United Kingdom has insisted that travellers from Nigeria would still be quarantined. She however said in the spirit of the,
business,"NNPC Boss Kyari Urges Nigerian Military to Halt 200,000bpd of Crude Oil Loss. The Group Managing Director of the Nigerian National Petroleum Corporation (NNPC), Mallam Mele Kyari, yesterday led a delegation from the",
business,"NNPC Chief Kyari Targets Fortune 500 Top 50 in Three Years. â€œBefore, you could lose money and nothing will happen, government could always pay, but the law now says we have",
business,NNPC Fixes Base Oil Price at $57 for 2022 and $61 for 2023. The Nigerian National Petroleum Corporation (NNPC) on Wednesday projected a medium term base crude oil price scenario of $57 to,
business,NNPC: Government to Halt Funding as National Oil Company Transforms Fully to Commercial Entity. The Group CFO has the added responsibility of ensuring the liquidity of the group and efficient allocation of capital to,
business,"NNPC: Nigeria's State-owned Oil Company Didn't Remit $9.435bn Crude Oil Proceeds in 2015, Senate Says. The Nigerian National Petroleum Corporation (NNPC) failed to remit N3.878 trillion, some $9.435 billion revenue from domestic crude oil sales",
business,NNPC's Operating Revenues Slump By $290m in January. The increasing landing cost of petrol and the inability of the Nigerian National Petroleum Corporation (NNPC)Â Â  to increase ex-depot price,
business,"Nova Merchant Bank Announces Apointment of New Directors, Promotes 20% of Workforce. The three new appointees are expected to strengthen and bring more inclusivity and diversity to the Bank's board.Read more",
health,Novavax Covid-19 Vaccine Shows 89% Efficacy in UK Trials. Novavax Inc has said its coronavirus vaccine is 89.3% effective in preventing Covid-19 in a trial conducted in the United,
health,"Nuli Launches Veggie Victory's 100% Plant-based Meat Substitute. Nuli, Nigeria's leading healthy food restaurant chain and natural juice brand, and Veggie Victory, Nigeria's first vegan food company, have",
sports,Sports news: Officials in Tokyo Alarmed as Covid Cases Hit Record Highs. Japanese officials sounded the alarm Thursday after Tokyo reported record-breaking coronavirus cases for two straight days with the Olympics well,
sports,"Sports news: Ogunbote Unveiled as Sunshine Stars Technical Adviser. One of the most experienced coaches in the Nigeria Professional Football League (NPFL), Gbenga Ogunbote, yesterday returned to Sunshine Stars",
business,"Oil Giant Saudi Aramco Sees 2020 Profits Drop 44% to $49bn. Saudi Arabia's state-backed oil giant Aramco announced Sunday that its profits nearly halved in 2020 to $49 billion, a big",
business,"Oil Price Continues Bullish Run, Now $83 as OPEC Delays Nigeria's Request for New Baseline. Oil prices continued to climb on Tuesday, hitting their highest levels in years and extending gains. Apparently, the rally was",
business,"Oil Price Rises to $58, OPEC Exceeds Output Cut Target. The Organisation of Petroleum Exporting Countries (OPEC) on Wednesday said its members had achieved 101% adherence to crude oil output",
business,"Oil Price Uptick Boosts Nigeria's External Reserves' Accretion by $404m. Nigeria's external reserves have maintained a positive momentum in the past two weeks, rising by $404 million to $34.820 billion",
business,Oil Prices Steady as Omicron Worries Linger. Oil prices steadied on Tuesday after a sharp fall in the previous session as investors worried about the rapid spread,
business,"Oil Rises to Near One-Year Highs After US Stock Drawdown. Oil prices rose almost 2% on and hovered near their highest levels in about a year, after government data showed",
business,"Oil Surges to 13-Year High of $129 Per Barrel. The price of international benchmark, Brent crude oil traded nine per cent higher to close at $128.60 per barrel on",
sports,"Sports news: Old Trafford Modified for 23,500 Socially Distanced Fans. Manchester United have modified Old Trafford to accommodate 23,500 socially distanced spectators, and insists they are ""bemused"" by the ongoing",
sports,"Sports news: Onyekwere Makes History, Wins First Commonwealth Discus Gold for Nigeria. Onyekewere, 28, threw 61.70m in her fourth attempt to take the lead from the home girl, Jade Lally, who led",
business,"OPEC Misses Production Target over Nigeria, Others' Under-Performance. The inability of Nigeria and other members of the Organisation of Petroleum Exporting Countries (OPEC) to pump enough crude oil",
business,"OPEC+ Resolves Impasse, to Boost Production by 400,000bpd. After over a two-week stalemate, the Organisation of Petroleum Exporting Countries (OPEC) and its allies, known as OPEC+ on Sunday",
sports,"Sports news: Osaka Reaches Australian Open Final, Ends Williams' Bid for Record-equalling 24th Grand Slam. Naomi Osaka ended Serena Williams' bid for a record-equalling 24th Grand Slam title in a storm of power hitting on",
sports,"Sports news: Osaka, Nadal Both Withdraws From Wimbledon. The 2021 Wimbledon Championships will be without two of the world's best tennis stars after Naomi Osaka followed Rafael Nadal",
sports,Sports news: Outcry as Australia Bars Djokovic Over Vaccination Status. World number one tennis player Novak Djokovic was denied entry into Australia on Thursday amid a storm of protest about,
business,"Outspoken Billionaire Sun Dawu Jailed for 18 Years in China. A prominent Chinese billionaire has been sentenced to 18 years in prison, the latest in a string of punishments against",
health,"Over 600 Journalists have Died of COVID-19 Worldwide, New Report Shows. Over 600 journalists have died worldwide due to the Covid-19 pandemic, a new report by the Press Emblem Campaign (PEC)",
health,"Oxford Pauses Covid-19 Vaccine Study in Kids, Awaits More Data on Blood Clot Issues. The University of Oxford said on Tuesday it had paused a small UK trial testing the COVID-19 vaccine it developed",
health,"Oxygen Supplies in Namibia Exhausted, Health Minister Says. Authorities in Namibia say reserves of medical oxygen have been â€œexhaustedâ€ with the country experiencing record numbers of daily deaths",
sports,"Sports news: Pacquiao Files for President as Philippine Campaigning Starts. International boxing champion Manny Pacquiao has formally filed his candidacy for president of the Philippines, as the country kicked off",
business,"Pan-African Settlement Platform Will Reduce FX Usage in Africa, Nigeria's Central Bank Governor Says. The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele has said the newly launched Pan-African Payment and",
sports,"Sports news: Paolo Rossi, Italy's 1982 World Cup Hero, Dies Aged 64. Former Italian footballer Paolo Rossi, who led the national team to victory in the 1982 World Cup, has died aged",
health,Paris Streets Empty as Covid-19 Curfew Takes Effect. Boutiques in the centre of the French capital shut early and shoppers hurried home to meet a new 8:00 p.m.,
business,"PepsiCo Earnings Top Estimates on Higher Sales of Drink and Sparkling Water. PepsiCo on Thursday reported fourth-quarter earnings that topped estimates, fuelled by pandemic snacking and higher sales of drinks like Gatorade",
health,Pfizer Says Covid Booster May Offer Protection against Omicron. Pfizer said Wednesday that a booster of its COVID-19 vaccine may offer important protection against the new omicron variant even,
health,"Pfizer Says Covid-19 Vaccine Safe, Effective On Adolescents in Trial. Pfizer and BioNTech have announced that their Covid-19 vaccine is safe and effective in 12- to 15-year olds, paving the",
business,Pfizer Says Its Antiviral Pill Slashes Risk of Severe Covid By 89%. Pfizer Inc's (PFE.N) experimental antiviral pill to treat COVID-19 cut by 89% the chance of hospitalization or death for adults,
health,Pfizer Seeks Emergency Use Authorization For Coronavirus Vaccine. Pfizer and BioNTech on Friday submitted to the US Food and Drug Administration for emergency use authorization for their coronavirus,
health,"Pfizer to Seek US Authorisation for 3rd Vaccine Dose. Pfizer is about to seek U.S. authorisation for a third dose of its COVID-19 vaccine, saying Thursday that another shot",
health,Pfizer to Supply US with Additional 100M Doses of Covid Vaccine. Pfizer and BioNTech will supply the US with an additional 100 million doses of the Covid-19 vaccine under a new,
health,Pfizer-BioNTech Vaccine Deliveries Could Start 'Before Christmas'. Pfizer could secure emergency U.S. and European authorization for their COVID-19 vaccine next month after final trial results showed it,
health,Pfizer-Biotech Seek EU Covid-19 Vaccine Approval For Children. Pfizer and BioNTech have submitted a request for European Union drug regulators to extend the approval of the companies' coronavirus,
sports,"Sports news: Pinnick Restates NFF's Support for Nigeria Pitch Awards. President of the Nigeria Football Federation, Mr. Amaju Melvin Pinnick, restated the Federation's support and endorsement for the Nigeria Pitch",
sports,Premier League Champions Liverpool Slip to Offer Man. United New Year's Boost. Liverpool were left frustrated by a host of missed chances as they drew 0-0 at Newcastle United to round off,
sports,"Premier League Clubs Reject 'Project Big Picture'. Premier League clubs have ""unanimously agreed"" that 'Project Big Picture' will not be endorsed or pursued. The controversial plans, proposed",
sports,"Premier League Condemns Plan For $6bn European Super League as Uefa Vows to Stop 'Cynical Project'. Fifteen of Europe's biggest clubs are in talks to launch a European Super League, planned to start in time for",
sports,Premier League Disqualifies Abramovich from Running Chelsea. The Premier League banned Roman Abramovich from running Chelsea on Saturday after the club owner was sanctioned by the British,
business,"Price of Rice, Other Food Items to Crash Soon, Buhari Assures. President Muhammadu Buhari has assured Nigerians that prices of food items, especially rice will soon come down. The president, who",
business,"Propelled By Talks of Reduced Supply, Bitcoin Crosses $60,000 Again. Bitcoin rose above $60,000 to approach record highs on the weekend, breaking out of a two-week tight range and propelled",
sports,"Sports news: PSG Appoint Mauricio Pochettino as Head Coach. Former Tottenham boss, Mauricio Pochettino has been appointed as the new head coach of Paris Saint-Germain. It is his first",
sports,"Sports news: PSG Rejects â‚¬160m Kylian Mbappe Offer From Real Madrid: ESPN. Paris Saint-Germain has ""immediately rejected"" a â‚¬160 million offer from Real Madrid to sign Kylian Mbappe, ESPN reports. Real Madrid",
sports,Sports news: PSG v Istanbul Basaksehir Abandoned Amid Racist Allegations. Paris St-Germain's game against Istanbul Basaksehir will resume on Wednesday after it was abandoned on Tuesday with a match official,
sports,Sports news: Qatar 2022 Playoff: Super Eagles Storm Kumasi in Buoyant Mood. Nigeria's contingent to Friday's 2022 FIFA World Cup qualifying showdown with the Black Stars of Ghana landed at the Kumasi,
